requirement_id,type,actor,requirement,priority,verification,source,legal_basis,control_id,owner_module,implementation_artifact,release_gate,status,acceptance_evidence,design_surface,api_operations,database_entities,privacy_security_review,approval_owner,residual_risk
FR-TEN-03,Functional,CPF Super Admin; Employer Admin,"The Super Admin shall be able to approve, activate, suspend and terminate an employer tenant without deleting legally retained evidence.",Must,Tenant lifecycle tests,"BRD 7.1, 20","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-TEN-03,Tenant and Entitlements,API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Tenant lifecycle tests,Role journey + normal/loading/empty/error/denied/expired/success states,PUT /v2/admin/tenants/{tenantId}/status,"tenant.*, iam.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-TEN-04,Functional,CPF Super Admin; Employer Admin,"The platform shall enforce plan entitlements for user counts, candidate volumes, assessment credits, storage, integrations and enterprise options.",Should,Entitlement boundary tests,BRD 8.2-8.3,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-TEN-04,Tenant and Entitlements,API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Entitlement boundary tests,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/admin/plans,"tenant.*, iam.*",Risk-based review,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-TEN-05,Functional,CPF Super Admin; Employer Admin,The platform shall support organisation branding only within controlled templates and accessibility standards.,Could,Theme and accessibility tests,BRD BR-045,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-TEN-05,Tenant and Entitlements,API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Theme and accessibility tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"tenant.*, iam.*",Risk-based review,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-TEN-06,Functional,CPF Super Admin; Employer Admin,The platform shall support an optional dedicated enterprise tenant or infrastructure configuration.,Could,Deployment validation,BRD BR-046,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-TEN-06,Tenant and Entitlements,API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Deployment validation,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"tenant.*, iam.*",Risk-based review,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-01,Functional,Employer Admin; Candidate,"Employer Admins shall be able to create, edit, activate, pause and close role-based hiring campaigns.",Must,Campaign lifecycle acceptance tests,"BRD 9.2, BR-003","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-01,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Campaign lifecycle acceptance tests,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/campaigns; POST /v2/campaigns; PATCH /v2/campaigns/{campaignId}; POST /v2/campaigns/{campaignId}/activate; POST /v2/campaigns/{campaignId}/pause; POST /v2/campaigns/{campaignId}/close,hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-02,Functional,Employer Admin; Candidate,"Each campaign shall record role, seniority, department, owner, job description, competency framework, assessment, review model and decision status.",Must,Schema and UI validation,"BRD 9.2, 10-11","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-02,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Schema and UI validation,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/campaigns/{campaignId},hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-03,Functional,Employer Admin; Candidate,The platform shall map or link the job description to an approved competency framework and shall preserve the selected framework version.,Must,Version linkage tests,"BRD 9.2, 11.2","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-03,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Version linkage tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-04,Functional,Employer Admin; Candidate,"Employer Admins shall be able to import candidates manually, by CSV, API or ATS integration as configured.",Must,Import tests for all supported channels,"BRD 21.2, BR-004","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-04,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Import tests for all supported channels,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/campaigns/{campaignId}/candidate-imports,hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-05,Functional,Employer Admin; Candidate,"Candidate imports shall validate fields, return row-level errors and prevent silent overwrite.",Must,Import error and idempotency tests,"BRD 21.2, 28.1","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-05,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Import error and idempotency tests,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/candidate-imports/{importId}/commit,hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-06,Functional,Employer Admin; Candidate,"The system shall identify likely duplicate candidate records within the same tenant and support merge, separate-application and correction actions.",Must,Duplicate matching tests,BRD 21.3,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-06,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Duplicate matching tests,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/candidates/{candidateId},hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-07,Functional,Employer Admin; Candidate,The system shall not match or expose candidate records across employer tenants.,Must,Cross-tenant negative tests,"BRD 21.3, 29.3","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-07,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Cross-tenant negative tests,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/candidates/{candidateId},hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-08,Functional,Employer Admin; Candidate,"Employer Admins shall be able to issue unique, expiring and revocable invitations linked to one campaign and candidate.",Must,Invitation security tests,"BRD 9.3, BR-005","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-08,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Invitation security tests,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/applications/{applicationId}/invitations; DELETE /v2/invitations/{invitationId},hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-09,Functional,Employer Admin; Candidate,Invitation communications shall disclose assessment requirements before proctoring installation or permission requests.,Must,Content and journey test,BRD BR-006,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-09,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Content and journey test,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-10,Functional,Employer Admin; Candidate,"The system shall support invitation reminders, expiry notices, delivery status, resend and revoke actions.",Must,Notification workflow tests,BRD 22,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-10,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Notification workflow tests,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/invitations/{invitationId}/resend,hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-11,Functional,Employer Admin; Candidate,"Employer Admins shall be able to assign qualified reviewers and configure single, blind double, secondary, adjudication or QA review rules.",Must,Workflow assignment tests,"BRD 17.3, BR-040","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-11,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Workflow assignment tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAM-12,Functional,Employer Admin; Candidate,"Campaign dashboards shall expose candidate, invitation, pre-check, attempt, submission, review and decision status with authorised filters.",Must,Dashboard acceptance and permission tests,BRD 19,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-CAM-12,"Campaign, Candidate and Invitation",API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Dashboard acceptance and permission tests,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/campaigns/{campaignId}/dashboard,hiring.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-01,Functional,Assessment Designer; CPF Super Admin,"The platform shall maintain an assessment catalogue with lifecycle states Draft, Internal Review, Compliance Review, Technical Validation, Pilot, Calibration, Approved, Active, Suspended and Retired.",Must,State-machine tests,BRD 11.1,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-01,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for State-machine tests,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/assessments; POST /v2/assessments; GET /v2/assessments/{assessmentId},"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-02,Functional,Assessment Designer; CPF Super Admin,Only Approved and Active assessment versions shall be assignable to new candidates.,Must,Assignment validation tests,"BRD 11.1, Rule 15","EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-02,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Assignment validation tests,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/assessment-versions/{versionId}/activate,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-03,Functional,Assessment Designer; CPF Super Admin,"Each assessment shall define target role, seniority, competency map, job-relevance rationale, duration, instructions, rubric, evidence examples, AI/plugin permissions and technical requirements.",Must,Completeness validation,BRD 11,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-03,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Completeness validation,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/assessments/{assessmentId}/versions,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-04,Functional,Assessment Designer; CPF Super Admin,"Each assessment shall record accessibility, security, privacy, bias/fairness and validation reviews.",Must,Governance gate test,BRD 11,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-04,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Governance gate test,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/assessment-versions/{versionId}/validations,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-05,Functional,Assessment Designer; CPF Super Admin,"An attempt shall bind immutably to the assessment, content, rubric, scoring-weight, model, prompt and plugin configuration versions active at launch.",Must,Immutability and reconstruction tests,"BRD 11.2, Rule 3","EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-05,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Immutability and reconstruction tests,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/attempts/{attemptId}/start,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-06,Functional,Assessment Designer; CPF Super Admin,Post-launch defects shall create an impact analysis identifying affected candidates and appropriate remedies.,Must,Defect workflow test,"BRD 11.2, Rules 13-14","EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-06,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Defect workflow test,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/assessment-versions/{versionId}/suspend; POST /v2/assessment-versions/{versionId}/defects,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-07,Functional,Assessment Designer; CPF Super Admin,A permitted correction or rescore shall create a new report version and preserve the prior version and reason.,Must,Version and audit tests,BRD Rule 22,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-07,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Version and audit tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-08,Functional,Assessment Designer; CPF Super Admin,"The assessment engine shall support behavioural judgement, domain knowledge, practical work simulation, AI/plugin collaboration and reflection/defence layers.",Must,Content rendering and scoring tests,BRD 10,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-08,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Content rendering and scoring tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-09,Functional,Assessment Designer; CPF Super Admin,"The platform shall support role-specific question and task types including code, documents, spreadsheets, SQL, analytics, campaign simulations and controlled files.",Must,Role-workspace tests,"BRD 10.1, 13.2","EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-09,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Role-workspace tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-10,Functional,Assessment Designer; CPF Super Admin,Employer customisation shall be limited to CPF-approved parameters and shall block prohibited or unsupported criteria.,Must,Configuration boundary tests,"BRD 5.8, 7.2","EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-10,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Configuration boundary tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-11,Functional,Assessment Designer; CPF Super Admin,"Assessment content, rubrics and validation evidence shall have owners, version history, effective dates and revalidation or expiry dates.",Must,Registry inspection,BRD 11,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-11,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Registry inspection,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-AST-12,Functional,Assessment Designer; CPF Super Admin,The system shall support at least four validated pilot assessments in the MVP.,Must,MVP release gate,BRD 35,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-AST-12,Assessment Registry and Authoring,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for MVP release gate,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"assessment.*, governance.assessment_defects",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAN-01,Functional,Candidate; Support,"The candidate portal shall display role, assessment duration, supported devices, technical requirements, available AI/plugins, monitoring and data-use notices before installation.",Must,Candidate journey acceptance test,"BRD 9.3, BR-006","GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-CAN-01,Candidate Assessment Runtime,API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Candidate journey acceptance test,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/candidate/notices,"hiring.*, runtime.*, evidence.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAN-02,Functional,Candidate; Support,"Candidates shall be able to acknowledge versioned privacy, monitoring, AI-use and assessment-rule notices.",Must,Notice version and audit test,BRD 24.4,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-CAN-02,Candidate Assessment Runtime,API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Notice version and audit test,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/candidate/notices/{noticeId}/acknowledgement,"hiring.*, runtime.*, evidence.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-CAN-03,Functional,Candidate; Support,Candidates shall be able to request and track reasonable accommodations through a restricted workflow.,Must,Accommodation workflow and privacy test,"BRD 25.2, BR-037","GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-CAN-03,Candidate Assessment Runtime,API + service + DB + automated acceptance test,G2 Functional readiness,Specified; evidence not yet supplied,Automated/manual evidence for Accommodation workflow and privacy test,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/accommodations,"hiring.*, runtime.*, evidence.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
