schema,table,table_purpose,column,data_type,nullable,default,primary_key,foreign_key,unique,column_purpose,data_classification,special_category,tenant_scope,access_roles,lawful_basis_note,retention_rule,mutability,encryption,audit_event
assessment,assessment_tool_policies,Per-version tool allow-list and limits,is_allowed,boolean,No,,No,,No,Is allowed,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_tool_policies,Per-version tool allow-list and limits,limits,jsonb,No,'{}'::jsonb,No,,No,Limits,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_tool_policies,Per-version tool allow-list and limits,created_at,timestamptz,No,now(),No,,No,Immutable record creation time in UTC,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_validations,"Privacy, security, fairness and validity gates",id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_validations,"Privacy, security, fairness and validity gates",assessment_version_id,uuid,No,,No,assessment.assessment_versions(id),No,Assessment version reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_validations,"Privacy, security, fairness and validity gates",validation_type,text,No,,No,,No,Validation type,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_validations,"Privacy, security, fairness and validity gates",status,text,No,,No,,No,Controlled lifecycle state,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_validations,"Privacy, security, fairness and validity gates",evidence_uri,text,Yes,,No,,No,Evidence uri,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_validations,"Privacy, security, fairness and validity gates",summary,text,Yes,,No,,No,Summary,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_validations,"Privacy, security, fairness and validity gates",reviewer_user_id,uuid,Yes,,No,iam.users(id),No,Reviewer user reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_validations,"Privacy, security, fairness and validity gates",reviewed_at,timestamptz,Yes,,No,,No,Reviewed timestamp,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_validations,"Privacy, security, fairness and validity gates",expires_at,timestamptz,Yes,,No,,No,Expires timestamp,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_validations,"Privacy, security, fairness and validity gates",created_at,timestamptz,No,now(),No,,No,Immutable record creation time in UTC,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,assessment_id,uuid,No,,No,assessment.assessments(id),Composite/Yes,Assessment reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,version_no,integer,No,,No,,Composite/Yes,Version no,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,competency_framework_version_id,uuid,No,,No,assessment.competency_framework_versions(id),No,Competency framework version reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,rubric_version_id,uuid,No,,No,assessment.rubric_versions(id),No,Rubric version reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,default_model_id,uuid,Yes,,No,assessment.model_registry(id),No,Default model reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,default_prompt_version_id,uuid,Yes,,No,assessment.prompt_versions(id),No,Default prompt version reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,duration_seconds,integer,No,,No,,No,Duration seconds,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,instructions,jsonb,No,,No,,No,Instructions,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,technical_requirements,jsonb,No,'{}'::jsonb,No,,No,Technical requirements,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,accessibility_config,jsonb,No,'{}'::jsonb,No,,No,Accessibility config,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,monitoring_policy,jsonb,No,'{}'::jsonb,No,,No,Monitoring policy,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,status,text,No,,No,,No,Controlled lifecycle state,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,effective_from,timestamptz,Yes,,No,,No,Effective from,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,effective_to,timestamptz,Yes,,No,,No,Effective to,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,revalidate_by,date,Yes,,No,,No,Revalidate by,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,content_hash,text,No,,No,,No,Content hash,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_versions,Immutable assessment configuration snapshot,created_at,timestamptz,No,now(),No,,No,Immutable record creation time in UTC,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessments,Assessment identity and lifecycle,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Internal operational data,No,Direct tenant_id,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessments,Assessment identity and lifecycle,tenant_id,uuid,Yes,,No,tenant.organizations(id),Composite/Yes,Employer tenant isolation key,Internal operational data,No,Direct tenant_id,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessments,Assessment identity and lifecycle,code,text,No,,No,,Composite/Yes,Code,Internal operational data,No,Direct tenant_id,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessments,Assessment identity and lifecycle,title,text,No,,No,,No,Title,Internal operational data,No,Direct tenant_id,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessments,Assessment identity and lifecycle,target_role,text,No,,No,,No,Target role,Internal operational data,No,Direct tenant_id,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessments,Assessment identity and lifecycle,seniority,text,No,,No,,No,Seniority,Internal operational data,No,Direct tenant_id,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessments,Assessment identity and lifecycle,owner_user_id,uuid,Yes,,No,iam.users(id),No,Owner user reference,Internal operational data,No,Direct tenant_id,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessments,Assessment identity and lifecycle,lifecycle_status,text,No,,No,,No,Lifecycle status,Internal operational data,No,Direct tenant_id,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessments,Assessment identity and lifecycle,created_at,timestamptz,No,now(),No,,No,Immutable record creation time in UTC,Internal operational data,No,Direct tenant_id,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessments,Assessment identity and lifecycle,updated_at,timestamptz,No,now(),No,,No,Last mutable update time in UTC,Internal operational data,No,Direct tenant_id,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competencies,Competencies and level anchors,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competencies,Competencies and level anchors,framework_version_id,uuid,No,,No,assessment.competency_framework_versions(id),Composite/Yes,Framework version reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competencies,Competencies and level anchors,code,text,No,,No,,Composite/Yes,Code,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competencies,Competencies and level anchors,name,text,No,,No,,No,Name,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competencies,Competencies and level anchors,description,text,No,,No,,No,Description,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competencies,Competencies and level anchors,level_anchors,jsonb,No,'[]'::jsonb,No,,No,Level anchors,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competencies,Competencies and level anchors,display_order,integer,No,,No,,No,Display order,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competency_framework_versions,Immutable competency definitions,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competency_framework_versions,Immutable competency definitions,framework_id,uuid,No,,No,assessment.competency_frameworks(id),Composite/Yes,Framework reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competency_framework_versions,Immutable competency definitions,version_no,integer,No,,No,,Composite/Yes,Version no,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competency_framework_versions,Immutable competency definitions,content,jsonb,No,,No,,No,Content,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competency_framework_versions,Immutable competency definitions,rationale,text,Yes,,No,,No,Rationale,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competency_framework_versions,Immutable competency definitions,approval_status,text,No,,No,,No,Approval status,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competency_framework_versions,Immutable competency definitions,effective_from,timestamptz,Yes,,No,,No,Effective from,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,competency_framework_versions,Immutable competency definitions,effective_to,timestamptz,Yes,,No,,No,Effective to,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
